代码,名称,类型,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%)
002439,启明星辰,次新,回踩确认,62.9,否,无,是,是,28.7,是,否,1.22,13.5,13.82,13.95,-2.33,2.53
002532,天山铝业,次新,回踩确认,62.7,是,Fib-144K,是,是,52.9,否,否,0.95,13.13,13.34,13.35,-1.55,1.38
000681,视觉中国,次新,回踩确认,62.5,否,无,是,是,56.4,否,是,1.4,17.2,17.45,17.65,-1.42,3.58
603558,健盛集团,次新,回踩确认,62.0,是,Fib-55x2(110K),是,是,30.2,否,否,0.85,12.24,12.03,12.15,1.73,1.45
601456,国联民生,次新,突破初现,62.0,否,无,是,否,23.7,否,是,1.31,8.93,8.87,8.8,0.72,0.48
300498,温氏股份,次新,突破初现,62.0,否,无,是,是,37.2,否,是,2.62,15.36,15.28,15.61,0.55,4.63
001257,盛龙股份,次新,临界变盘,61.8,是,Fib-55K,否,是,38.8,是,否,1.11,24.01,24.69,0.0,-2.77,2.51
600373,中文传媒,次新,突破初现,61.7,否,无,是,是,45.0,否,是,1.27,7.42,7.2,7.37,3.03,2.29
002540,亚太科技,次新,临界变盘,61.6,是,Fib-144K,是,是,43.5,否,否,0.57,5.14,5.24,5.24,-1.97,1.4
002236,大华股份,次新,回踩确认,61.5,否,无,是,否,25.0,是,否,0.92,16.31,16.27,16.33,0.25,1.17
688122,西部超导,次新,回踩确认,61.4,否,无,是,是,57.8,否,是,1.27,49.48,48.54,48.41,1.94,3.5
002996,顺博合金,次新,临界变盘,61.4,是,Fib-144K,是,是,36.6,否,否,0.92,6.2,6.36,6.21,-2.58,0.87
002967,广电计量,次新,临界变盘,61.3,否,无,否,是,40.2,否,是,2.0,17.67,17.68,0.0,-0.07,1.42
301229,纽泰格,次新,临界变盘,61.1,是,Fib-55x3(165K),是,是,56.8,否,否,1.27,12.31,12.33,11.97,-0.15,3.43
002039,黔源电力,次新,回踩确认,61.0,否,无,是,否,20.6,是,否,0.76,19.4,19.26,19.39,0.75,0.84
688251,井松智能,次新,回踩确认,61.0,是,Fib-55x2(110K),是,是,56.3,否,否,0.56,20.07,20.24,20.21,-0.86,2.73
000913,钱江摩托,次新,临界变盘,60.8,是,Fib-55x2(110K),是,是,37.8,否,否,0.72,11.2,11.38,11.2,-1.61,2.06
000568,泸州老窖,次新,回踩确认,60.6,否,无,是,是,50.8,否,是,1.81,79.92,79.44,79.5,0.61,5.16
002372,伟星新材,次新,临界变盘,60.5,是,Fib-144K,是,是,39.8,否,否,0.67,8.67,8.82,8.47,-1.7,2.09
605155,西大门,次新,回踩确认,60.4,是,Fib-144K,是,是,48.3,否,否,1.22,14.41,14.24,14.5,1.17,2.65
301223,中荣股份,次新,突破初现,60.4,否,无,是,是,27.9,否,是,1.31,17.79,17.64,17.65,0.84,5.01
300702,天宇股份,次新,回踩确认,60.4,是,Sym-49x4(196K),是,是,35.2,否,否,0.77,21.62,21.98,21.97,-1.64,2.21
600231,凌钢股份,次新,临界变盘,60.3,是,Fib-144K,是,是,42.4,否,否,0.73,1.75,1.78,1.78,-1.5,2.36
605333,沪光股份,次新,回踩确认,60.3,是,Fib-55x3(165K),是,是,52.4,否,否,0.69,17.49,17.78,17.03,-1.61,2.25
301299,卓创资讯,次新,临界变盘,60.2,否,无,是,是,49.1,否,是,1.45,45.88,46.57,46.54,-1.48,4.46
000400,许继电气,次新,回踩确认,60.0,否,无,是,是,43.7,否,是,3.04,21.92,21.4,21.9,2.44,4.05
300190,维尔利,次新,突破初现,60.0,是,Sym-39x3(117K),否,是,35.9,否,是,2.43,4.07,3.97,0.0,2.43,3.8
002330,得利斯,次新,突破初现,60.0,否,无,是,是,38.4,否,是,1.82,4.26,4.18,4.24,1.84,4.18
603999,读者传媒,次新,突破初现,60.0,否,无,是,是,45.0,否,是,1.69,6.03,5.94,5.96,1.59,4.93
600612,老凤祥,次新,回踩确认,60.0,是,Fib-144K,是,是,40.6,否,否,0.83,33.8,33.84,34.07,-0.12,3.9
000705,浙江震元,次新,临界变盘,60.0,否,无,是,是,45.4,否,是,1.52,7.21,7.37,7.47,-2.12,4.18
001285,瑞立科密,次新,临界变盘,60.0,否,无,是,是,40.4,否,是,1.6,44.4,45.9,45.95,-3.27,4.62
002557,洽洽食品,次新,临界变盘,60.0,否,无,是,是,30.4,是,否,1.17,18.95,19.61,19.24,-3.34,2.84
600061,国投资本,次新,临界变盘,59.9,否,无,是,否,23.8,否,是,1.39,6.53,6.55,6.55,-0.38,1.66
002101,广东鸿图,次新,临界变盘,59.9,是,Sym-50x4(200K),是,是,42.5,否,否,1.05,8.73,8.99,8.74,-2.86,1.18
600163,中闽能源,次新,突破初现,59.8,是,Fib-55x2(110K),是,是,47.2,否,否,0.94,5.26,5.12,5.14,2.67,1.4
603312,西典新能,次新,临界变盘,59.6,是,Sym-49x4(196K),是,是,54.5,否,否,1.21,31.99,32.8,31.86,-2.46,1.68
300466,赛摩智能,次新,临界变盘,59.5,是,Fib-144K,是,是,43.6,否,否,0.93,7.41,7.56,7.47,-1.98,2.2
002007,华兰生物,次新,临界变盘,59.5,是,Sym-49x4(196K),是,是,29.0,否,否,0.96,13.04,13.4,13.21,-2.71,1.5
603071,物产环能,次新,临界变盘,59.3,是,Fib-55x2(110K),是,是,28.0,否,否,0.68,12.69,12.87,12.8,-1.4,2.89
603059,倍加洁,次新,突破初现,59.2,是,Sym-47x3(141K),是,是,50.3,否,否,0.87,25.02,24.38,24.64,2.63,1.69
002310,东方新能,次新,回踩确认,59.0,是,Fib-55x2(110K),是,是,51.6,否,否,1.28,2.3,2.3,2.29,-0.02,4.37
002097,山河智能,次新,临界变盘,58.8,否,无,否,是,49.3,否,是,1.39,7.48,7.53,0.0,-0.69,1.8
000166,申万宏源,次新,突破初现,58.7,否,无,是,否,23.5,否,是,1.37,4.59,4.54,4.52,1.11,1.41
000862,银星能源,次新,回踩确认,58.7,是,Fib-55x2(110K),是,是,52.3,否,否,1.03,5.25,5.2,5.29,0.94,3.59
601200,上海环境,次新,临界变盘,58.7,否,无,是,是,29.3,否,否,0.82,6.96,6.97,6.98,-0.15,0.35
601600,中国铝业,次新,临界变盘,58.7,是,Fib-144K,是,是,51.2,否,否,0.89,9.67,9.9,9.45,-2.32,2.19
600032,浙江新能,次新,回踩确认,58.4,是,Fib-55x2(110K),是,是,55.2,否,否,1.11,6.73,6.73,6.67,-0.02,4.64
