代码,名称,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%),类型
601628,中国人寿,临界变盘,52.2,否,无,是,是,38.2,否,否,0.8,39.17,39.31,37.87,-0.36,2.75,新股
600010,包钢股份,临界变盘,52.2,否,无,是,是,40.2,否,否,0.83,2.21,2.26,2.2,-2.36,0.78,新股
002526,山东矿机,回踩确认,52.1,否,无,是,是,40.3,否,否,1.37,2.73,2.71,2.72,0.61,2.53,新股
600797,浙大网新,回踩确认,52.1,否,无,是,是,49.7,否,否,1.11,6.96,6.99,6.94,-0.39,2.75,新股
002191,劲嘉股份,临界变盘,52.1,否,无,是,否,27.3,是,否,0.81,3.64,3.72,3.63,-2.27,2.9,新股
603848,好太太,回踩确认,52.0,否,无,是,是,42.5,否,否,0.87,13.56,13.62,13.95,-0.48,2.71,新股
300059,东方财富,临界变盘,52.0,否,无,是,否,33.0,否,是,1.29,19.15,19.53,19.39,-1.94,3.27,新股
600905,三峡能源,临界变盘,51.6,是,Fib-55x2(110K),是,否,22.0,否,否,0.87,3.68,3.69,3.68,-0.31,3.06,新股
002124,天邦食品,突破初现,51.4,否,无,是,否,38.1,是,否,3.28,2.42,2.35,2.35,2.95,2.49,新股
600167,联美控股,突破初现,51.3,否,无,是,是,46.7,否,否,0.74,5.8,5.68,5.62,2.12,1.34,新股
300678,中科信息,回踩确认,51.3,否,无,是,是,46.1,否,否,0.96,22.54,22.3,22.35,1.08,2.42,新股
600218,全柴动力,临界变盘,51.3,否,无,是,是,44.4,否,否,0.83,7.71,7.65,7.65,0.75,2.75,新股
300389,艾比森,临界变盘,51.3,否,无,是,是,49.0,否,否,1.19,12.85,12.85,12.84,-0.03,3.47,新股
301559,中集环科,临界变盘,51.3,否,无,是,是,38.3,否,否,1.1,13.09,13.28,13.19,-1.4,2.09,新股
603191,望变电气,回踩确认,51.2,否,无,否,是,57.7,否,是,1.56,15.8,15.47,0.0,2.12,3.4,新股
002090,金智科技,临界变盘,51.1,否,无,是,是,40.0,否,否,1.27,9.3,9.4,9.47,-1.01,2.55,新股
002157,正邦科技,突破初现,51.0,否,无,是,否,31.3,否,是,3.39,3.22,3.19,3.13,1.09,4.52,新股
300034,钢研高纳,突破初现,50.9,否,无,是,是,41.8,否,否,1.28,16.34,16.19,16.23,0.94,2.69,新股
003038,鑫铂股份,临界变盘,50.8,否,无,是,是,51.5,否,否,1.12,10.95,11.07,11.1,-1.09,2.59,新股
300341,麦克奥迪,临界变盘,50.8,否,无,是,是,43.1,否,否,0.97,12.93,13.31,13.38,-2.82,0.86,新股
603708,家家悦,回踩确认,50.6,否,无,是,是,41.2,否,否,1.1,9.42,9.59,9.59,-1.79,1.98,新股
600983,惠而浦,临界变盘,50.5,否,无,是,是,44.5,否,否,0.88,7.61,7.72,7.68,-1.36,2.42,新股
603896,寿仙谷,回踩确认,50.4,否,无,是,是,45.1,否,否,0.6,14.87,14.73,14.71,0.98,2.86,新股
002752,昇兴股份,临界变盘,50.4,否,无,是,是,42.4,否,否,1.23,6.2,6.14,6.15,0.91,2.95,新股
603051,鹿山新材,回踩确认,50.4,否,无,是,是,43.2,否,否,0.95,21.18,21.16,21.14,0.11,3.72,新股
600085,同仁堂,回踩确认,50.2,否,无,是,是,39.6,否,否,1.19,24.14,24.3,24.28,-0.65,3.28,新股
002010,传化智联,回踩确认,50.2,否,无,是,是,40.3,否,否,0.79,4.58,4.66,4.69,-1.76,2.17,新股
